;link;data;titulo;texto
0;/br/content/chamamento-para-novoas-integrantes-do-conselho-de-usu%C3%A1rios-da-ufrpe;20/03/2023 - 15:14;Chamamento para novo(a)s integrantes do Conselho de Usuários da UFRPE;"A Universidade Federal Rural de Pernambuco (UFRPE) realiza chamamento para inscrição voluntária de novos conselheiros para compor o Conselho de Usuários da UFRPE, que tem como objetivo garantir uma nova forma de participação direta da sociedade na avaliação e melhoria dos serviços públicos prestados pela universidade, conectando os usuários aos gestores responsáveis pelo serviço. O Conselho de Usuários é uma ferramenta que ajuda você a avaliar os serviços e expor as suas ideias diretamente à Ouvidoria e aos gestores dos serviços prestados pela UFRPE. Deste modo, o Conselho é uma nova forma de participação direta da sociedade na avaliação e melhoria dos serviços públicos, que conectará os usuários aos gestores responsáveis pelo serviço. Qualquer cidadão pode ser conselheiro ou conselheira, sem a necessidade de eleições ou qualquer outro processo seletivo, basta realizar um cadastro e login na Plataforma Virtual do Conselho de Usuários de Serviços Públicos: https://conselhodeusuarios.cgu.gov.br/ Uma vez cadastrados, os conselheiros passam a responder a consultas sobre os serviços públicos ofertados pela UFRPE e podem também apresentar propostas de melhorias desses serviços. O funcionamento do Conselho de Usuário da UFRPE é totalmente virtual e qualquer cidadão interessado pode se inscrever para participar na avaliação de um ou mais serviços públicos prestados pela UFRPE. A atuação como conselheiro é voluntária e será considerada serviço relevante e sem remuneração. A instituição do Conselho de Usuários de Serviços Públicos foi prevista na Lei de Defesa dos Direitos do Usuário dos Serviços Públicos (Lei 13.460/2017). Dúvidas, entre em contato com a Ouvidoria da UFRPE: Site: www.ouvidoria.ufrpe.br
E-mail: ouvidoria.reitoria@ufrpe.br
Telefone: (81) 3320.6015 Whatsapp: +558133206015 Instagram: @ouvidoria.ufrpe"
1;/br/content/ufrpe-tem-nova-pr%C3%B3-reitora-de-ensino-de-gradua%C3%A7%C3%A3o;20/03/2023 - 12:08;UFRPE tem nova pró-reitora de ensino de graduação;A gestão superior da UFRPE manifesta profunda gratidão pelo trabalho desenvolvimento pela professora Socorro Lima ao longo do período em que atuou como pró-reitora de Ensino de Graduação, cargo do qual a docente solicitou desligamento para realização do seu estágio pós-doutoral. A UFRPE comunica que, a partir desta data, assume o cargo a professora Flávia Carolina Lins, vinculada ao Departamento de Biologia da UFRPE e ex-coordenadora do Curso de Licenciatura em Ciências Biológicas.
2;/br/content/gastronomia-promove-evento-sobre-h%C3%A1bitos-alimentares;20/03/2023 - 09:42;Gastronomia promove evento sobre hábitos alimentares;"O curso de Bacharealdo em Gastronomia promove, no próximo dia 24/03, na cozinha show da gastronomia, o evento Comida para repensar, que terá como tema a alimentação saudável: repensando hábitos alimentares diários. O encontro está sendo organizado pela turma da disciplina "" Segurança alimentar e nutricional"" e orientado pela professora Emmanuela Azevedo e terá a participação da nutricionista Rafaella Mendonça e do gastrônomo Thiago Dantas. "
3;/br/content/abertas-inscri%C3%A7%C3%B5es-para-sele%C3%A7%C3%A3o-de-bolsa-de-gradua%C3%A7%C3%A3o-para-estudantes-negroas;17/03/2023 - 17:12;Abertas inscrições para seleção de bolsa de graduação para estudantes negro(a)s;A UFRPE, por meio da Pró-Reitoria de Ensino de Graduação, divulga o Edital UFRPE n 14/2023  que visa à seleção de candidato(a)s negro(a)s  para bolsas de pernamência na graduação concedidas pelo Edital Caferrour 2022. A Bolsa de Permanência na Graduação - 1 vaga para cada curso - tem o valor de R$ 1.000,00(mil reais)/mês, e é voltada especificamente para estudantes do 1º ou 2º período dos seguintes cursos: Bacharelado de Ciências Biológicas (Sede), Engenharia de Pesca (Sede), Bacharelado em Administração (Sede), Bacharelado em Ciências da Computação (Sede), Bacharelado em Ciências Econômicas (Sede), Bacharelado em Engenharia de Computação (UABJ), Bacharelado em Engenharia Hídrica (UABJ), Bacharelado em Engenharia Química (UABJ), Bacharelado em Engenharia de Materiais (UACSA). Confira o Edital anexo abaixo.
4;/br/content/ufrpe-comemora-dia-da-terra;16/03/2023 - 11:14;UFRPE comemora Dia da Terra;Em 22 de abril de 1970, cerca de 20 milhões de pessoas participaram da primeira celebração do Dia da Terra, dando grande força e visibilidade ao Movimento Ambientalista. As Nações Unidas, posteriormente, declararam esse dia para a comemoração do Dia Internacional da Mãe Terra, comemorações estas que tomaram o mundo e são realizadas anualmente, com destaque para alguns países como: Estados Unidos, Canadá e França. O Brasil, um dos países com maior biodiversidade do planeta, tem papel fundamental na defesa dos complexos problemas de destruição e desequilíbrios ambientais. Conscientes disso, a UFRPE se juntou à Associação Dia da Terra Brasil para realizar o 1º Dia da Terra em Pernambuco. A celebração será realizada ao longo de uma semana (17 a 22/04) e propomos uma programação repleta de reflexão, mobilização e variadas atividades de impacto alusivas a esta data tão importante. Neste momento, a Ruralinda convida tod@s da comunidade acadêmica a fazer parte desse movimento importante e necessário de reflexão e cuidado do planeta, nossa casa-mãe TERRA, contribuindo com atividades relacionadas à temática. Então, sejam muito bem-vind@s a cadastrar sua ação e venham mobilizar com a gente! Link para submissão de propostas: https://forms.gle/RpBdETYDpeo7taMP6  
5;/br/content/bolsas-de-inicia%C3%A7%C3%A3o-cient%C3%ADfica-da-ufrpe-t%C3%AAm-aumento-partir-de-abril-de-2023;15/03/2023 - 15:07;Bolsas de iniciação científica da UFRPE têm aumento a partir de abril de 2023;" A gestão superior da UFRPE divulga, nesta quarta-feira (15/03), o aumento das bolsas de iniciação científica pagas pela Instituição a partir de abril. Com o aumento,  as bolsas Pibiti, Piemp, Pibic e Pibic-AF passam de R$400 para R$700;  e a Pibic-EM vai de R$100 para R$300. De acordo com o reitor, Marcelo Carneiro Leão, a medida visa a equalizar, mesmo em situação de dificuldade orçamentária, os valores com as bolsas similares pagas pelo Governo Federal, que foram reajustadas. “Essas bolsas são pagas com os recursos da própria Universidade, que ainda passa por contingências após os diversos cortes realizados nos últimos anos. Contudo, com grande esforço, vamos garantir esses recursos para os nossos estudantes”, ressalta. No caso das demais bolsas pagas pela UFRPE, a Gestão espera, nos próximos dias, a definição orçamentária para divulgar os valores reajustados."
6;/br/content/professor-do-dm-ministrar%C3%A1-curso-na-it%C3%A1lia;10/03/2023 - 14:46;Professor do DM ministrará curso na Itália;Professor do departamento de matemática ganha projeto de pesquisa europeu e vai dar curso no ICTP - Italia no programa de Pesquisa em Pares. O docente Rodrigo Gondim Neves ministrará curso sobre hessianas e as propriedades de Lefschetz nos dias 26 e 29 de junho. O programa CIMPA-ICTP Research in Pairs Fellowships oferece uma oportunidade para pesquisadores de matemática baseados em países em desenvolvimento virem à Europa para colaborar com um colega em um projeto de pesquisa bem documentado. Durante a estadia será feita a gravação/transmissão de um mini-curso de matemática no CIMPA, ICTP, CIRM ou CRM. 
7;/br/content/ufrpe-e-cprh-realizam-semin%C3%A1rio-apa-aldeia-beberibe-13-anos;10/03/2023 - 14:29;UFRPE e CPRH realizam seminário APA Aldeia-Beberibe: 13 anos;"   A Universidade Federal Rural de Pernambuco recebe, no próximo dia 17/03, na sala de seminários do CEGOE, o evento APA Aldeia-Beberibe: 13 anos. O evento é uma promoção conjunta da UFRPE e da CPRH, conselho gestor da APA Aldeia Beberibe. A APA Aldeia-Beberibe foi criada por um decreto estadual e possui uma área de 31.634 hectares, que passa pelos munícipios de Abreu e Lima, Araçoiaba, Camaragibe, Igarassu, Paudalho, Paulista, Recife e São Lourenço da Mata. A criação da APA teve como objetivo proteger os recursos hídricos, as espécies da fauna e da flora da Mata Atlântica raras e ameaçadas de extinção, como também promover a melhoria da qualidade de vida da população que habita a UC e seu entorno, visando o convívio respeitoso e sustentável com a natureza. O evento tem como um dos seus objetivos mostrar a relevância dessa área protegida para a conservação da biodiversidade, dos recursos hídricos e mitigação dos impactos das mudanças climáticas, além de ser um importante espaço de pesquisa, lazer e recreação em contato com a natureza.  Serviço: Quando: 17 de março de 2023, das 8h30 às 17h30
Onde: Anfiteatro do CEGOE/UFRPE, Campus Dois Irmãos
Inscrições: https://forms.gle/2oe8j8NoTzW8gTpaA (gratuitas, limitadas)    "
8;/br/content/campanha-ufrpe-lugar-de-mulher-refor%C3%A7a-canal-permanente-de-den%C3%BAncia-contra-viol%C3%AAncias;10/03/2023 - 13:41;Campanha UFRPE, Lugar de Mulher reforça canal permanente de denúncia contra violências;"No dia 08 de março, na Roda de Conversa em comemoração ao Dia Internacional da Mulher, a UFRPE lançou a campanha “UFRPE, lugar de mulher”. A UFRPE, em respeito aos direitos humanos, à dignidade da pessoa humana, à igualdade de gênero, ao direito a vida e liberdade, repudia todas as formas de violência contra as mulheres, seja ela física, sexual, psicológica, moral ou patrimonial, no âmbito institucional, e, com o apoio da Ouvidoria, lança ação educativa e de sensibilização da comunidade acadêmica a ser executada durante todo o mês de março. A ação se alinhada ao proposto pela “Guia Lilás: Orientações para prevenção e tratamento ao assédio moral e sexual e à discriminação no Governo Federal” proposto pela Controladoria Geral da União, bem como ao Código de Ética e Conduta da UFRPE. O Código de Ética e Conduta da UFRPE, aprovado pela Resolução CONSU nº 165/2022, preconiza os valores da fraternidade e paz no convívio institucional; a convivência harmoniosa, o respeito mútuo e a cordialidade entre os membros da comunidade universitária; a discrição e a postura íntegra nas atividades institucionais; o repúdio ao abuso de poder (art. 5º da Resolução CONSU nº 165_2022). O Código define a conduta ética, os direitos e obrigações a serem observadas por todos os membros da comunidade acadêmica, servidores, servidoras, alunos, alunas, terceirizados e terceirizadas. Compete à Comissão de Ética apurar os atos e ações que infrinjam suas determinações. A Ouvidoria da UFRPE é um canal de comunicação aberto para ouvir, acolher, orientar e incrementar ações de prevenção, proteção e encaminhamento para apuração de toda forma de violência contra as alunas, terceirizadas, técnicas e docentes, nos diversos espaços de relações interpessoais da instituição. Convidamos todas vocês a conhecerem e utilizarem a Ouvidoria na defesa de seus direitos, buscando assim contribuir para a construção de um ambiente acolhedor, seguro e propício para o desenvolvimento pessoal, acadêmico e profissional das mulheres que fazem parte da Ruralinda. Você que é estidamte, servidora ou terceirizada da UFRPE, saiba que você não está sozinha; não se cale e DENUNCIE todas as formas de violência contra as mulheres, seja ela física, sexual, psicológica, moral ou patrimonial, ocorridas na universidade. Encaminhe sua denúncia para a Ouvidoria da UFRPE pelo o site: www.falabr.cgu.gov.br Ouvidoria Endereço: Rua Dom Manoel de Medeiros, sn, Dois Irmãos, Recife/PE Térreo do prédio da central, ao lado do Departamento de Registro e Controle Acadêmico - DRCA Telefone: 3320.6015 Site: www.ouvidoria.ufrpe.br"
9;/br/content/ufrpe-e-unesp-realizam-articula%C3%A7%C3%A3o-pelo-planejamento-estrat%C3%A9gico-da-pg;09/03/2023 - 15:11;UFRPE e Unesp realizam articulação pelo planejamento estratégico da PG;" Acordo de Cooperação Técnica entre Mestrados Profissionais da UFRPE e a Faculdade de Medicina Veterinária e Zootecnia (FMVZ) da Unesp
reúne discentes, docentes e técnicos– todos pela formulação de novas estratégias e o sucesso da pós-graduação brasileira.  Uma equipe de professores e técnicos da UFRPE – ligados aos Mestrados Profissionais de Saúde Única (PMPSU) e de Administração Pública (PROFIAP) – esteve em Botucatu-SP entre os dias 1º e 03 de março para retomada do Planejamento Estratégico da Pós-Graduação na FMVZ-Unesp. A equipe visitante, formada pelos professores Jorge Correia Neto, Romilson Cabral e Luiz Maia, além do Diretor de Planejamento e Acompanhamento da PROPLAN-UFRPE e egresso do PROFIAP (turma 2019), Rafael Carvalho, deslocou-se de Recife até a cidade paulista para oferecer suporte técnico a um trabalho iniciado em plena Pandemia, quando uma série de oficinas haviam sido realizadas online, culminando com o 1º Ciclo de Planejamento Estratégico da Faculdade. O encontro teve a participação de docentes, discentes e técnicos administrativos do Programa de Pós-Graduação em Medicina Veterinária, da FMVZ, Unesp, Botucatu.  O docente Márcio Garcia,vice Coordenador que, ao lado da Professora e Coordenadora Renée Laufer Amorim, vem conduzindo com excelência os Programas de Medicina Veterinária na Pós-Graduação da FMVZ-Unesp se mostrou-se grato com o encontro: “Gostaríamos de agradecer a todos pela visita à nossa Universidade e pela generosidade com que compartilharam suas expertises. Estamos convictos de que nossas atividades em 2021 contribuíram significativamente para um olhar interno do programa, buscando manter nossas fortalezas e gerar ações para nossas fragilidades, que contribuíram para alcançarmos o nível 7 na Avaliação Quadrienal da Capes. Com esta nova rodada, esperamos avançar nos itens que ainda demandam atenção”, afirmou o professor. Participaram ainda,  como convidadas das atividades, as professoras Maria Clorinda Fioravanti (Escola de Veterinária e Zootecnia, Programa de pós graduação em Ciência Animal, UFG), Professora Maeli Dal Pai (Programa de Pós Graduação em Biologia Geral e Aplicada, IBB, Unesp, Botucatu), Margarida Maria Barros (Programa de Pós-Graduação em Zootecnia, FMVZ, Unesp, Botucatu) e Cláudia Valéria Seullner Brandão (coordenadora do Programa de Pós-Graduação em Animais Selvagens, FMVZ, Unesp, Botucatu.) Além de palestras e oficinas focadas nos desafios e oportunidades da Pós-Graduação contemporânea, o encontro serviu para estreitar os laços de cooperação, amizade e admiração mútua entre os Programas que, em breve, anunciarão novas atividades – dessa vez, na capital Pernambucana."
